id,name,email,address,amount_spent,city,country,spending_category
945673,Christine Johnston,elizabeth11@bennett.org,"7660 Todd Forge, Robertchester, Wisconsin, 07419, United States Minor Outlying Islands",14909.64,Robertchester,United States Minor Outlying Islands,Very High
261751,Jaime Wood,hcox@mata-ball.biz,"8949 Barry Forks, Port Nicole, Alaska, 81406, Ethiopia",14783.7,Port Nicole,Ethiopia,Very High
319918,Sheila Jones,zriddle@gmail.com,"0735 Rogers Harbors, Gallegosstad, Nebraska, 30314, Bulgaria",14677.37,Gallegosstad,Bulgaria,Very High
983350,Kimberly Jacobs,tracy79@chavez-lane.com,"4588 Tiffany Villages, New Michaelstad, North Dakota, 53430, Venezuela",14596.07,New Michaelstad,Venezuela,Very High
554696,Erika Long,bill12@perry-thomas.net,"8022 Garcia Heights, New Lauren, Virginia, 07933, Austria",14466.54,New Lauren,Austria,Very High
810775,Gina Wise,silvaclinton@yahoo.com,"12913 Ramirez Route, New Matthew, Georgia, 85774, Monaco",14351.21,New Matthew,Monaco,Very High
265528,Lauren Thomas,vasquezcurtis@yahoo.com,"96076 Sheri Spur, Tinashire, Montana, 78505, Sri Lanka",14269.63,Tinashire,Sri Lanka,Very High
581116,Robin Bailey,samanthawong@santos-valdez.com,"43833 Walker Inlet, Moyershire, Arkansas, 39955, Samoa",14247.66,Moyershire,Samoa,Very High
370594,Mrs. Monique Reid,andrewsdavid@yahoo.com,"4848 Heather Causeway, Kaylaborough, Colorado, 18896, Ethiopia",14210.31,Kaylaborough,Ethiopia,Very High
370894,Lisa Martinez,melvinhorton@gmail.com,"6382 Christine Shore, North Kevintown, Oregon, 58486, Russian Federation",14202.28,North Kevintown,Russian Federation,Very High
856908,Theresa Hutchinson,djohnson@pope-carr.com,"872 Stephanie Lodge, Paulville, Utah, 20431, Mauritania",14072.73,Paulville,Mauritania,Very High
214698,Carrie Duncan,zjones@gmail.com,"50107 Smith Plain, South Bethany, Michigan, 32325, Spain",13974.09,South Bethany,Spain,Very High
439889,Jonathan Kim,meltoncaitlin@white-lopez.info,"07670 Dominguez Avenue, Hollyland, Indiana, 71703, Armenia",13940.48,Hollyland,Armenia,Very High
890534,Andrew Young,seanmiller@hotmail.com,"8260 Hawkins River, New Robert, Alaska, 07512, Puerto Rico",13905.89,New Robert,Puerto Rico,Very High
921838,Jonathan Sanchez,jcallahan@price.com,"42377 Charles Place, Scottfurt, Nebraska, 64994, Faroe Islands",13833.4,Scottfurt,Faroe Islands,Very High
681399,Jennifer Anderson,paulayala@hotmail.com,"8514 Tina Club, New Cynthia, Tennessee, 65555, American Samoa",13827.74,New Cynthia,American Samoa,Very High
509332,Madeline Koch,ihart@yahoo.com,"73613 Ronald Branch, Thomasstad, Vermont, 29045, Argentina",13801.31,Thomasstad,Argentina,Very High
423402,Jeffrey Wilkins,vwhite@hotmail.com,"859 Jason Plaza, New Michaelside, Illinois, 09334, Brunei Darussalam",13786.33,New Michaelside,Brunei Darussalam,Very High
286991,David Schmitt,jenniferbrown@carter-kirby.biz,"08325 Lambert Crescent, Traceyside, Oregon, 77631, Equatorial Guinea",13621.58,Traceyside,Equatorial Guinea,Very High
662464,Ryan Turner,kristinarivera@hotmail.com,"16187 Andrew Extensions, Port Melinda, Hawaii, 63510, Gabon",13565.62,Port Melinda,Gabon,Very High
122886,Katherine Scott,vmeyer@haas.com,"6493 Dunn Rapid, New Jamie, Idaho, 26479, Sudan",13536.08,New Jamie,Sudan,Very High
228537,Alicia Stevens,gloriamartin@gmail.com,"50450 Julia Canyon, Christopherview, Kansas, 34235, Macao",13513.53,Christopherview,Macao,Very High
576448,Ryan Newman,brownmartha@gmail.com,"071 James Stream, Margarettown, Oregon, 97227, Saint Helena",13465.13,Margarettown,Saint Helena,Very High
317519,Andrew Morgan,caldwellkenneth@gmail.com,"809 Young Hill, Raymondville, New Mexico, 25875, Albania",13370.8,Raymondville,Albania,Very High
883566,Joseph Mendoza,martinrobert@gmail.com,"27175 Jason Ports, South Victoriashire, Oklahoma, 90731, Philippines",13101.25,South Victoriashire,Philippines,Very High
684386,Emily Gomez,bchapman@hotmail.com,"4999 Buchanan Alley, North Briannachester, Rhode Island, 52717, Afghanistan",13054.97,North Briannachester,Afghanistan,Very High
811405,William Weber,apatterson@yahoo.com,"4200 Joseph Springs, Brendaview, Idaho, 59519, Saint Kitts and Nevis",12639.85,Brendaview,Saint Kitts and Nevis,Very High
559684,Michael Garrett,catherine37@yahoo.com,"61134 Mary Run, Schultzchester, West Virginia, 74371, Bangladesh",12523.36,Schultzchester,Bangladesh,Very High
505355,Pamela Hicks,alicia14@edwards.com,"6780 Gray Hills, New Donnaport, Georgia, 70169, Syrian Arab Republic",12516.53,New Donnaport,Syrian Arab Republic,Very High
956710,Jessica Williams,francisstephen@hotmail.com,"1871 Aguirre Burg, North Charles, Indiana, 46122, Aruba",12511.65,North Charles,Aruba,Very High
385585,Joseph Underwood,robinchoi@hotmail.com,"09606 Debra Ports, Port Margaretmouth, Ohio, 28255, Kuwait",12488.03,Port Margaretmouth,Kuwait,Very High
370377,Jacob Smith,ericksonjamie@harrison-james.com,"447 Joshua Port, Kingland, California, 87720, Ethiopia",12426.74,Kingland,Ethiopia,Very High
449601,Heather Brady DVM,nicole52@sanchez.com,"204 Kristen Expressway, Hollyburgh, Tennessee, 94388, Kuwait",12413.09,Hollyburgh,Kuwait,Very High
