id,name,email,address,address2,amount_spent,raw_unstructured
692689,Jessica Adams,smithsheryl@hanson.biz,"956 Shane Station, North Shelly, Georgia, 04534, Dominica","313 Miller Terrace Suite 433, Vaughnton, DE 62276",8288.46,"Jessica Adams (692689) spent $8288.46 - Contact: smithsheryl@hanson.biz - Addr: 313 Miller Terrace Suite 433, Vaughnton, DE 62276"
220529,Kelly Livingston,carrie72@yahoo.com,"378 Brown Union, Andreaberg, Louisiana, 80123, Burkina Faso","853 Barrera Forges Apt. 774, South Edwintown, NE 45923",6136.34,"Kelly Livingston (220529) spent $6136.34 - Contact: carrie72@yahoo.com - Addr: 853 Barrera Forges Apt. 774, South Edwintown, NE 45923"
652801,Sarah Miller,harmonstacy@medina.com,"083 Castro Mills, Lake John, Minnesota, 46746, Estonia","968 Smith Ridge Apt. 477, Patrickberg, IN 50158",12322.27,"Sarah Miller (652801) spent $12322.27 - Contact: harmonstacy@medina.com - Addr: 968 Smith Ridge Apt. 477, Patrickberg, IN 50158"
810775,Gina Wise,silvaclinton@yahoo.com,"12913 Ramirez Route, New Matthew, Georgia, 85774, Monaco","901 Johnson Parkways Apt. 145, North Matthewtown, CO 30911",14351.21,"Gina Wise (810775) spent $14351.21 - Contact: silvaclinton@yahoo.com - Addr: 901 Johnson Parkways Apt. 145, North Matthewtown, CO 30911"
383754,Danny Hull,kclark@yahoo.com,"553 Gregory Tunnel, South Barbara, Washington, 09145, Tunisia","47452 Sanchez Circle, Batesmouth, IL 28111",10154.07,"Danny Hull (383754) spent $10154.07 - Contact: kclark@yahoo.com - Addr: 47452 Sanchez Circle, Batesmouth, IL 28111"
554696,Erika Long,bill12@perry-thomas.net,"8022 Garcia Heights, New Lauren, Virginia, 07933, Austria","3132 Garcia Neck, North Jefferyville, VT 14193",14466.54,"Erika Long (554696) spent $14466.54 - Contact: bill12@perry-thomas.net - Addr: 3132 Garcia Neck, North Jefferyville, VT 14193"
596444,Cheryl Nguyen,alexahancock@fowler.biz,"44603 Webb Unions, Cindytown, Louisiana, 22298, Falkland Islands (Malvinas)","7267 Pamela Radial, Allenview, MO 07909",4750.76,"Cheryl Nguyen (596444) spent $4750.76 - Contact: alexahancock@fowler.biz - Addr: 7267 Pamela Radial, Allenview, MO 07909"
347332,Shannon Robinson,debrawelch@hotmail.com,"032 Wood Crossroad, Lake Julia, Tennessee, 19151, Uganda","8475 Anthony Camp Apt. 122, Adkinsshire, CO 67133",10660.74,"Shannon Robinson (347332) spent $10660.74 - Contact: debrawelch@hotmail.com - Addr: 8475 Anthony Camp Apt. 122, Adkinsshire, CO 67133"
427232,Matthew Silva,abigail06@gmail.com,"67253 Murphy Fort, Millerview, Virginia, 86430, Lesotho","492 Nguyen Lights Apt. 880, Georgeview, TX 82315",6064.26,"Matthew Silva (427232) spent $6064.26 - Contact: abigail06@gmail.com - Addr: 492 Nguyen Lights Apt. 880, Georgeview, TX 82315"
890534,Andrew Young,seanmiller@hotmail.com,"8260 Hawkins River, New Robert, Alaska, 07512, Puerto Rico","607 Kelly Crossing, West Jason, ND 90533",13905.89,"Andrew Young (890534) spent $13905.89 - Contact: seanmiller@hotmail.com - Addr: 607 Kelly Crossing, West Jason, ND 90533"
570028,Ronnie Graham,theresa90@hotmail.com,"82051 David Ridges, East Marcusstad, Washington, 12763, Botswana","6402 Madeline Viaduct Suite 710, West Larrymouth, NH 19764",6679.34,"Ronnie Graham (570028) spent $6679.34 - Contact: theresa90@hotmail.com - Addr: 6402 Madeline Viaduct Suite 710, West Larrymouth, NH 19764"
385585,Joseph Underwood,robinchoi@hotmail.com,"09606 Debra Ports, Port Margaretmouth, Ohio, 28255, Kuwait","68487 Christopher Stravenue Apt. 707, Reynoldsbury, CO 01150",12488.03,"Joseph Underwood (385585) spent $12488.03 - Contact: robinchoi@hotmail.com - Addr: 68487 Christopher Stravenue Apt. 707, Reynoldsbury, CO 01150"
272412,Shannon Atkinson,zrichardson@yahoo.com,"46383 Heather Manors, Merritttown, Arkansas, 90868, Palestinian Territory","26032 Robert Meadow, Collinsside, WV 93963",8381.79,"Shannon Atkinson (272412) spent $8381.79 - Contact: zrichardson@yahoo.com - Addr: 26032 Robert Meadow, Collinsside, WV 93963"
866005,Brian Barber,erin38@hotmail.com,"8274 Reed Well, Mcdowellside, Indiana, 11837, Norfolk Island","7597 Kevin Plains Apt. 066, Port Tara, CO 95150",6661.54,"Brian Barber (866005) spent $6661.54 - Contact: erin38@hotmail.com - Addr: 7597 Kevin Plains Apt. 066, Port Tara, CO 95150"
442509,Austin Clark,kbarton@hotmail.com,"6764 Wong View, South Whitneyview, Kansas, 36588, Cyprus","027 Ellis Pine, Perezbury, MA 72595",2217.71,"Austin Clark (442509) spent $2217.71 - Contact: kbarton@hotmail.com - Addr: 027 Ellis Pine, Perezbury, MA 72595"
505355,Pamela Hicks,alicia14@edwards.com,"6780 Gray Hills, New Donnaport, Georgia, 70169, Syrian Arab Republic","7739 Deborah Prairie, Donaldville, DE 71377",12516.53,"Pamela Hicks (505355) spent $12516.53 - Contact: alicia14@edwards.com - Addr: 7739 Deborah Prairie, Donaldville, DE 71377"
521903,Mr. Peter Dickson,penastephanie@yahoo.com,"75343 Jasmine Forks, New Ryan, Oklahoma, 17074, Luxembourg","8283 Adrian Plains, Davidmouth, IL 03562",10896.26,"Mr. Peter Dickson (521903) spent $10896.26 - Contact: penastephanie@yahoo.com - Addr: 8283 Adrian Plains, Davidmouth, IL 03562"
549391,Katherine Good,irwinjacob@yahoo.com,"762 Ferguson Cape, Jamestown, Georgia, 96910, Malawi","PSC 5099, Box 0410, APO AA 08911",11624.25,"Katherine Good (549391) spent $11624.25 - Contact: irwinjacob@yahoo.com - Addr: PSC 5099, Box 0410, APO AA 08911"
